timestamp,key,value
1763590010.241342,idle_detection_status,"""starting"""
1763590010.2413492,idle_detection_restart_count,0
1763590010.241568,idle_detection_status,"""running"""
1763590010.2415712,idle_detection_heartbeat,1763590010.241569
1763590010.241594,obj_person_recog_status,"""starting"""
1763590010.241596,obj_person_recog_restart_count,0
1763590010.241952,obj_person_recog_last_beat,1763590010.241947
1763590010.242039,app_usage_monitor_status,"""starting"""
1763590010.2420428,app_usage_monitor_restart_count,0
1763590010.242153,app_usage_monitor_status,"""running"""
1763590010.242156,app_usage_monitor_last_beat,1763590010.242155
1763590010.243144,app_usage_monitor_heartbeat,1763590010.2430909
1763590010.2434921,obj_person_recog_status,"""running"""
1763590010.243496,obj_person_recog_heartbeat,1763590010.2434938
1763590010.252627,idle_detection_last_beat,1763590010.25261
1763590010.2636569,active_app,"""Code"""
1763590010.26366,active_app_start_time,1763590010.263633
1763590010.263671,active_app_duration,0.0
1763590010.2526238,idle_detection_last_beat,1763590010.25261
1763590010.263654,active_app,"""Code"""
1763590010.26366,active_app_start_time,1763590010.263633
1763590010.263668,active_app_duration,0.0
1763590010.695458,activity_state,"""active"""
1763590010.695467,last_active_time,1763590010.2533529
1763590010.6954691,user_present,true
1763590010.695471,gaze_centered,true
1763590010.697634,idle_detection_last_beat,1763590010.697628
1763590010.695456,activity_state,"""active"""
1763590010.695467,last_active_time,1763590010.2533529
1763590010.6954691,user_present,true
1763590010.695471,gaze_centered,true
1763590010.697633,idle_detection_last_beat,1763590010.697628
1763590011.067639,gaze_centered,false
1763590011.0698318,idle_detection_last_beat,1763590011.069271
1763590011.067637,gaze_centered,false
1763590011.06983,idle_detection_last_beat,1763590011.069271
1763590011.5124412,idle_detection_last_beat,1763590011.5124
1763590011.512437,idle_detection_last_beat,1763590011.5124
1763590011.8084202,obj_person_recog_last_beat,1763590011.808409
1763590011.842304,activity_state,"""distracted"""
1763590011.843591,idle_detection_last_beat,1763590011.843576
1763590011.808418,obj_person_recog_last_beat,1763590011.808409
1763590011.842301,activity_state,"""distracted"""
1763590011.843589,idle_detection_last_beat,1763590011.843576
1763590169.47395,idle_detection_status,"""starting"""
